"term","package","description","title"
"ifelse","base","Return a or b depending on the value of test","All Functions Used on PO11Q"
"setwd","base","Set Working Directory",""
"library","base","Load an R package",""
"read_excel","readxl","Read an Excel file",""
"head","utils","Show first 5 rows of a data frame",""
"names","base","Retrieve names of a list/vector",""
"str","utils","Get the structure of an R object",""
"factor","base","Create a factor",""
"mutate","dplyr","Modify/create a column in a data frame",""
"recode","dplyr","Recode a variable",""
"cut","base","Convert Numeric to Factor",""
"c","base","Combine values/vectors into a vector",""
"levels","base","Get levels of a factor ",""
"select","dplyr","Select columns from a tibble/data frame",""
"slice","dplyr","Subset rows using their positions",""
"filter","dplyr","Filter out rows of a data frame according to logical vector",""
"arrange","dplyr","Sort values of data frame according to a variable/combination of varaibles",""
"desc","dplyr","Arrange in descending order",""
"group_by","dplyr","Group tibble/data.frame by a factor variable. All further tidyverse operations are performed group-wise",""
"ungroup","dplyr","Resolve grouping created with ""group_by""",""
"summarise","dplyr","collapse the dataset to a summary statistic. Usually used with group_by()",""
"mean","base","Get mean of a vector",""
"median","stats","Get median of a vector",""
"summary","base","Obtain summary statistics or detailed regression output",""
"min","base","Get minimum of a vector",""
"max","base","Get maximum of a vector",""
"range","base","Return range of values",""
"sd","stats","Get standard deviation of a vector",""
"var","stats","Calculate variance",""
"hist","graphics","Plot a simple histogram",""
"boxplot","graphics","Plot a simple box plot",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"geom_histogram","GGPLOT2","Generates a histogram",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"scale_x_continuous","GGPLOT2","Customise continuous x axis",""
"seq","base","Create a sequence",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"sum","base","Get sum of numeric values or a vector",""
"read_dta","haven","Read a .dta file (Stata data)",""
"table","base","Obtain frequency table of a variable/cross-tabulation of two variables",""
"ordered","dplyr","Create an ordered factor",""
"data.frame","base","Create a data.frame from vectors",""
"separate","dplyr","Separate a character column into multiple columns",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"n","dplyr","The number of observations in the current group.",""
"spread","tidyr","Spread a key-value pair across multiple columns",""
"summarize",NA,NA,""
"is.na","base","Check if a value is NA/elements of vector are NA",""
"write.csv","utils","write a csv file to a data frame",""
"write_dta",NA,NA,""
"save","base","Writes an external representation of R objects to the specified file.",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"complete.cases","stats","Find Complete Cases",""
"with","base","evaluate expression in the context of a data frame",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"prop.test","stats","Test of Equal or Given Proportions",""
"stat_ecdf","GGPLOT2","Compute empirical cumulative distribution",""
"geom_segment","GGPLOT2","Generates a line segment or curve",""
"ecdf","stats","Compute an empirical cumulative distribution function",""
"scale_y_continuous","GGPLOT2","Customise continuous y axis",""
"set.seed","base","Initialise a pseudorandom number generator.",""
"sample_n","dplyr","Sample a number of observations from a data frame",""
"sqrt","stats","Square root",""
"geom_bar","GGPLOT2","Generates a bar chart",""
"ylab","GGPLOT2","Label the y axis (ggplot)",""
"theme","GGPLOT2","Set theme for GGPLOT2",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
